duration,count
12.541999999999973,1
2.300000000000068,4
0.45899999999999963,398
9.84,10
24.77500000000009,1
1.066999999999993,70
19.45300000000003,3
19.999999999999993,1
8.234000000000002,1
5.772999999999911,7
39.4670000000001,1
11.166999999999994,1
19.06099999999998,1
4.0699999999999985,1
4.565999999999974,3
0.041999999999916326,98
12.800000000000004,4
21.400000000000034,4
23.422999999999988,1
14.914,1
9.051,2
23.356999999999992,1
27.59999999999991,6
2.378,113
5.040999999999997,16
22.266000000000076,1
24.90000000000009,1
2.6500000000000057,6
8.407999999999998,1
3.23599999999999,140
2.520000000000003,106
3.8379999999999996,1
2.8670000000000044,24
14.055,2
8.676000000000002,7
8.534000000000106,1
16.891,1
0.37600000000000006,1
7.575000000000017,4
9.802000000000021,9
19.43999999999994,5
9.04,26
15.416000000000025,1
0.5010000000000003,57
6.720000000000006,6
14.247,4
20.875,2
24.400000000000002,3
27.960000000000036,10
2.665999999999997,105
3.7089999999999996,4
21.322000000000116,1
1.8019999999999996,163
6.234000000000002,1
14.948000000000093,2
10.200000000000273,2
12.387,17
12.00200000000001,1
8.049999999999997,8
12.879999999999999,2
9.427000000000021,3
0.935,4
5.505999999999993,1
7.174000000000035,22
1.7919999999999732,15
9.593,2
2.202000000000055,4
20.02,4
9.319999999999709,2
23.400000000000034,3
8.519999999999996,23
9.427,2
6.080000000000041,53
2.079999999999984,506
0.8349999999999991,7
6.281999999999982,1
2.8530000000000655,1
3.1600000000000037,53
11.83299999999997,1
1.1420000000000528,2
5.296999999999983,1
1.9609999999999843,42
0.47999999999999865,52
17.083999999999833,4
0.10000000000000142,652
20.421000000000006,1
7.54099999999994,12
16.05800000000005,1
2.6690000000000396,62
7.166000000000011,1
15.781999999999982,6
8.8599999999999,1
21.82199999999999,1
10.583,1
11.143999999999998,2
12.680000000000291,2
7.799999999999727,3
3.5709999999999997,4
15.1400000000001,1
2.3799999999999955,7
11.499999999999996,1
1.9399999999998272,2
3.4799999999999898,216
6.214999999999975,18
7.219999999999914,2
0.015999999999991132,15
11.261000000000081,1
1.6679999999999495,46
10.0,199
1.1340000000000003,345
3.794999999999999,1
14.723,3
